method_key,method_label,checkpoint_step,fvd,psnr,ssim,sharpness,fft_hf,motion,lowfreq_motion,temporal_delta,source_file
frame_adaln_2epoch,"Frame AdaLN, 2 epoch",6000,86.09018646912551,18.97525284795483,0.7882360794869221,0.12432436456468718,nan,0.47501304935808814,nan,8.294408750534057,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_adaln_2epoch,"Frame AdaLN, 2 epoch",7000,94.52441091261801,19.317210066800904,0.7973796364080019,0.11091538131114516,nan,0.40656594354811365,nan,7.803693056106567,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_adaln_2epoch,"Frame AdaLN, 2 epoch",7992,89.40221337624786,18.844353224745436,0.778929530535943,0.12482991528601077,nan,0.47260705390001345,nan,8.297551155090332,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_adaln_2epoch,"Frame AdaLN, 2 epoch",10000,79.94691116298276,19.160871760712105,0.7861785307174,0.11424353312514637,nan,0.47753173020722217,nan,8.257405328750611,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_adaln_2epoch,"Frame AdaLN, 2 epoch",12000,91.48129823766754,19.320856253608827,0.7977302801289283,0.12474136988719065,nan,0.4475268617431432,nan,8.149637603759766,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_adaln_2epoch,"Frame AdaLN, 2 epoch",14000,90.20682591409673,19.213331838704825,0.7988103165319475,0.11678446487023275,nan,0.4876403246543316,nan,8.247371292114257,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_adaln_2epoch,"Frame AdaLN, 2 epoch",15984,97.54932722891223,18.68101837540843,0.7893755008264322,0.11052349035440474,nan,0.45922445174349813,nan,8.090738296508789,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_global_mlp_2epoch,"Frame Global MLP, 2 epoch",0,69.28439593586126,18.04057585897761,0.7609906927750081,0.26582225512855895,nan,0.7815679903312978,nan,9.97663860321045,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_global_mlp_2epoch,"Frame Global MLP, 2 epoch",100,67.60697880998586,17.379707770482355,0.7489391733589225,0.26007436840711595,nan,0.7929061127197552,nan,9.872001123428344,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_global_mlp_2epoch,"Frame Global MLP, 2 epoch",250,67.59115858142204,17.534682322132312,0.7222023592315525,0.21002579504190408,nan,0.6483570385498839,nan,9.01907000541687,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_global_mlp_2epoch,"Frame Global MLP, 2 epoch",500,63.74939300936697,17.414200394066523,0.7270106856963613,0.2146139748472125,nan,0.6801794924293707,nan,9.192081022262574,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_global_mlp_2epoch,"Frame Global MLP, 2 epoch",1000,63.62853037198022,17.82060089160036,0.7488698673414204,0.18093773331002247,nan,0.6501657604967128,nan,9.143151712417602,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_global_mlp_2epoch,"Frame Global MLP, 2 epoch",1500,68.01140283597448,17.61677926282533,0.7380832261579666,0.15034479067334555,nan,0.5864032068271279,nan,8.782499074935913,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_global_mlp_2epoch,"Frame Global MLP, 2 epoch",2000,75.45521960933118,17.679595210346854,0.7340447530879521,0.15523543099790607,nan,0.5923134640361696,nan,8.834335660934448,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_global_mlp_2epoch,"Frame Global MLP, 2 epoch",2500,79.26609796002134,17.94300696675752,0.7438738707376922,0.1175593877511885,nan,0.4880276563271842,nan,8.317188692092895,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_global_mlp_2epoch,"Frame Global MLP, 2 epoch",3000,85.04119665843822,17.8879632103807,0.7382309562692451,0.10504769703116386,nan,0.4976850130232272,nan,8.317791271209718,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_global_mlp_2epoch,"Frame Global MLP, 2 epoch",4000,71.26127292115558,17.27232591343219,0.7162536037479497,0.13763316781246687,nan,0.5788462950914595,nan,8.855355167388916,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_global_mlp_2epoch,"Frame Global MLP, 2 epoch",5000,70.13326368535397,17.61224938465342,0.7299699534574831,0.1407380270263184,nan,0.5638101266851714,nan,8.705659198760987,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_global_mlp_2epoch,"Frame Global MLP, 2 epoch",6000,74.99037015669566,17.871223233504473,0.7442268693968913,0.13504086655160044,nan,0.5603297613181193,nan,8.732991981506348,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_global_mlp_2epoch,"Frame Global MLP, 2 epoch",7000,75.88472621545753,18.427937485353247,0.7701940623486887,0.12477019757712353,nan,0.5170688102172901,nan,8.336466407775879,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_global_mlp_2epoch,"Frame Global MLP, 2 epoch",7992,66.26050915119123,18.695280643286253,0.7820801741245702,0.13434524941593523,nan,0.49755851097462517,nan,8.299567556381225,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_global_mlp_2epoch,"Frame Global MLP, 2 epoch",10000,75.38971322925266,18.581145925732123,0.7708665590666178,0.12885430198573325,nan,0.44919875393840714,nan,8.03291301727295,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_global_mlp_2epoch,"Frame Global MLP, 2 epoch",12000,68.46160489359534,18.216568074750697,0.7515739253305251,0.13963392592053972,nan,0.538885798413607,nan,8.386756229400635,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_global_mlp_2epoch,"Frame Global MLP, 2 epoch",14000,68.79151089034895,18.54906206649106,0.7715119793580668,0.14208601699293805,nan,0.5108257925309151,nan,8.445961570739746,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_global_mlp_2epoch,"Frame Global MLP, 2 epoch",15984,74.06837437638313,18.45179437268547,0.7641419322048513,0.1303998296639381,nan,0.47123167616652123,nan,8.12229356765747,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_temporal_pool_2epoch,"Frame temporal pool, 2 epoch",0,70.03979734096691,17.984167943362678,0.7571353683191425,0.26517589724452784,nan,0.7845281596124547,nan,10.033317422866821,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_temporal_pool_2epoch,"Frame temporal pool, 2 epoch",100,66.27274685070705,17.700398434188834,0.7548087916050437,0.22831472174483394,nan,0.7187624345477571,nan,9.374593448638915,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_temporal_pool_2epoch,"Frame temporal pool, 2 epoch",250,76.10949890471983,17.47626832051919,0.724183955675327,0.15941593905674717,nan,0.6003811310184508,nan,8.53981990814209,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_temporal_pool_2epoch,"Frame temporal pool, 2 epoch",500,68.26981433411055,17.56992618899157,0.7240034413247886,0.1843776690902698,nan,0.5900148147246995,nan,8.647807788848876,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_temporal_pool_2epoch,"Frame temporal pool, 2 epoch",1000,68.18149551509697,18.218296331312963,0.7478849463463504,0.15599598518719268,nan,0.5882232992890086,nan,8.825245475769043,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_temporal_pool_2epoch,"Frame temporal pool, 2 epoch",1500,80.68064778219792,17.8835670517878,0.7413509502526742,0.1460039250644528,nan,0.6036807575701255,nan,8.937053155899047,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_temporal_pool_2epoch,"Frame temporal pool, 2 epoch",2000,73.51566978417836,17.963995249159932,0.7486778733040251,0.1627317208327169,nan,0.6203406799756126,nan,8.912494945526124,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_temporal_pool_2epoch,"Frame temporal pool, 2 epoch",2500,82.1223125287994,18.64485943091571,0.7712537126200869,0.1433444117481827,nan,0.5334622885230951,nan,8.67036681175232,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_temporal_pool_2epoch,"Frame temporal pool, 2 epoch",3000,93.28994622335915,18.745108819841132,0.7722965879608148,0.10182582907575455,nan,0.4962932038875419,nan,8.411408090591431,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_temporal_pool_2epoch,"Frame temporal pool, 2 epoch",4000,81.55886013745277,17.916790114093025,0.7273190340193884,0.13081548774030702,nan,0.5328166062937155,nan,8.407218790054321,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_temporal_pool_2epoch,"Frame temporal pool, 2 epoch",5000,71.929456049616,17.725395798419488,0.7257521820504153,0.12438136111541853,nan,0.5096545815751048,nan,8.131488800048828,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_temporal_pool_2epoch,"Frame temporal pool, 2 epoch",6000,73.50809848302623,17.739475419189386,0.72607080362237,0.1198603748459413,nan,0.5088466249775812,nan,8.194370365142822,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_temporal_pool_2epoch,"Frame temporal pool, 2 epoch",7000,89.88137080960266,17.878174203182834,0.7584916400395809,0.11390592914329237,nan,0.4487611474844074,nan,8.03700566291809,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_temporal_pool_2epoch,"Frame temporal pool, 2 epoch",7992,73.81642753047993,18.509870446171373,0.768491325400824,0.12232302246285906,nan,0.47553072267517466,nan,7.951507329940796,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
frame_temporal_pool_2epoch,"Frame temporal pool, 2 epoch",10000,81.49313446296028,17.932223112340306,0.7362850861955199,0.1007357727918351,nan,0.43583380892340917,nan,7.790848731994629,data/benchmarks/frame_action_2epoch_checkpoint_sweep_seed231_all5/frame_action_2epoch_checkpoint_sweep_summary_with_fvd.csv
