model_mode,num_clips,mean_future_mse,mean_future_mae,mean_future_psnr,mean_future_global_ssim,mean_context_mse,mean_context_psnr,mean_generated_future_laplacian_sharpness,mean_sharpness_ratio_generated_over_reference,mean_fft_high_frequency_energy_ratio_generated_over_reference,mean_motion_ratio_generated_over_reference,mean_low_frequency_motion_ratio_generated_over_reference,mean_temporal_delta_error_mae,mean_low_frequency_temporal_delta_error_mae,mean_boundary_mae_ratio_generated_over_reference,mean_copy_leakage_ratio_min_context_over_future,method_key,checkpoint_step,future_fvd_style,rank,source_table,method_label,fvd_future,fvd_backend,fvd_num_videos,fvd_num_frames,fvd_size
v4_main_text_r64_3epoch_step012000,5,2302.68469543457,26.416406059265135,17.27050845941286,0.7018240520463093,53.91885757446289,31.478159237571667,80.821976852417,0.3582677859600656,0.9843656078308912,0.7106319160220933,0.7050677683198936,9.273234224319458,9.26391897201538,0.6211975952062057,1.0831565896201714,v4_main_text_r64_3epoch,12000,83.29420824258159,64,three_epoch,,,,,,
v4_main_text_r64_3epoch_step014000,5,2313.4281005859375,26.416399574279787,17.268270043059534,0.6999898194683755,53.825670623779295,31.484400202480252,81.46308002471923,0.3596298762596272,0.9747134349414337,0.7131035747350059,0.7082994127005334,9.3099365234375,9.315293741226196,0.6299907866423373,1.080445871806147,v4_main_text_r64_3epoch,14000,88.78610849232265,64,three_epoch,,,,,,
v4_main_text_r64_3epoch_step015984,5,2311.2898376464846,26.421245098114014,17.263588689233874,0.7005094549344631,53.81594963073731,31.486538009997776,81.20171451568604,0.357430317030266,0.9708872083114206,0.7139995487835122,0.7091061483404658,9.299030208587647,9.300033617019654,0.6156246168971157,1.0796098027936447,v4_main_text_r64_3epoch,15984,86.39685443693551,64,three_epoch,,,,,,
v4_main_text_r64_3epoch_step018000,5,2275.1656494140625,26.290185928344727,17.298057468976722,0.7042099722214946,53.80701370239258,31.486904098874493,80.60605335235596,0.3565115604538905,0.978143826251636,0.7090091263260321,0.704129485749555,9.262742376327514,9.256264352798462,0.6246506657784551,1.0865284178135792,v4_main_text_r64_3epoch,18000,86.10847174705242,64,three_epoch,,,,,,
v4_main_text_r64_3epoch_step020000,5,2317.0392364501954,26.433308124542236,17.25154208196835,0.6996732780889955,53.85448951721192,31.48575509322726,81.15675926208496,0.35838365041226034,0.9734240589688277,0.7156419511114304,0.7110219175001933,9.315827178955079,9.317448711395263,0.6201607117011856,1.0786691187155772,v4_main_text_r64_3epoch,20000,90.01616307096995,64,three_epoch,,,,,,
v4_main_text_r64_3epoch_step022000,5,2289.6987121582033,26.374052143096925,17.279482791875967,0.7024196404452093,53.823224258422854,31.48716390238702,79.73180904388428,0.3530554456591001,0.9793300558329537,0.71068913568025,0.7054084259253716,9.266955041885376,9.261392641067506,0.6255089198958231,1.0844645123325667,v4_main_text_r64_3epoch,22000,85.67167215837142,64,three_epoch,,,,,,
v4_main_text_r64_3epoch_step023976,5,2310.0344116210936,26.396967029571535,17.268756475341235,0.7004487027102577,53.82902793884277,31.48484580298135,81.1179334640503,0.3592622981954884,0.9733018800750471,0.7107900182383851,0.7056017903858346,9.285299968719482,9.285406398773194,0.6171607152733241,1.0799469638955237,v4_main_text_r64_3epoch,23976,86.80549107376885,64,three_epoch,,,,,,
v4_main_text_r16_continue_step015984,5,2328.915719604492,26.59529867172241,17.206950781088484,0.6982283244407835,53.94261245727539,31.47500247243935,84.17986259460449,0.37030577500439443,0.9935169528980738,0.7245488311019278,0.7205586301881597,9.374773120880127,9.386571407318115,0.5815288944547252,1.0780095078747851,v4_main_text_r16_continue,15984,90.06599489391937,,b200_rank_capacity,,,,,,
v4_main_text_r16_continue_step018000,5,2328.6969940185545,26.589971256256103,17.207549570706778,0.6982080775921691,53.904104995727536,31.479737496391767,84.02125282287598,0.37088924386491773,0.9923193837351694,0.7249371164951491,0.7203066843207344,9.369535064697265,9.375101947784424,0.5935780690282233,1.0794224174885314,v4_main_text_r16_continue,18000,90.27121754798574,,b200_rank_capacity,,,,,,
v4_main_text_r16_continue_step020000,5,2330.4580047607424,26.619360542297365,17.203798406792153,0.6985511991685327,53.96670989990234,31.47414399216234,84.7181640625,0.3732278525663437,0.9945926684978215,0.7268585845353088,0.7224849076104962,9.380044555664062,9.386702632904052,0.5864332642328203,1.0785864007154016,v4_main_text_r16_continue,20000,87.32748559041107,,b200_rank_capacity,,,,,,
